Product ID,Brand,Category,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD10119,Blustream,Video Extenders,HEX18GARC-KIT,HEX18GARC-KIT,Advanced HDBaseT™ Extender Set,822,1401,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=724,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex18garc-kit-2425"
PROD10120,Blustream,Video Extenders,HEX70SL-TX,HEX70SL-TX,"HDBaseT transmitter, Slimline - 70m",159,270,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=134,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex70sl-tx-573"
PROD10121,Blustream,Video Extenders,HEX70SL-RX,HEX70SL-RX,"HDBaseT Receiver, Slimline - 70m",159,270,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=161,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex70sl-rx-579"
PROD10122,Blustream,Video Extenders,RX70CS,RX70CS,"HDBaseT Receiver, for C66/88CS and HMXL66/88, Slimline",230,392,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=155,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/rx70cs-285"
PROD10123,Blustream,Video Extenders,HEX70CS-TX,HEX70CS-TX,HDBaseT Transmitter - 70m,256,433,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=139,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex70cs-tx-585"
PROD10124,Blustream,Video Extenders,HEX70CS-RX,HEX70CS-RX,HDBaseT Receiver- 70m,256,433,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=157,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex70cs-rx-591"
PROD10125,Blustream,Video Extenders,HEX100CS-RX,HEX100CS-RX,HDBaseT Extender Receiver - 100m,363,618,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=148,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex100cs-rx-603"
PROD10126,Blustream,Video Extenders,TX150CS,TX150CS,HDBaseT™ CSC ARC Receiver - 150m,458,867,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=456,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/tx150cs-1691"
PROD10127,Blustream,Video Extenders,RX150CS,RX150CS,HDBaseT™ CSC ARC Receiver - 150m,458,780,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=146,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/rx150cs-275"
PROD10128,Blustream,Video Extenders,HEX11WP-TX-US,HEX11WP-TX-US,HDMI Wall Plate HDBaseT™ Transmitter,370,630,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=412,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex11wp-tx-us-1460"
